Tick 125(71), Delay 75 ms, IGT 00:03.509, RTA 00:03.483-00:03.558
Tick 126(72), Delay 30 ms, IGT 00:03.559, RTA 00:03.558-00:03.588
Tick 127(73), Delay 42 ms, IGT 00:03.609, RTA 00:03.588-00:03.630
Tick 128(74), Delay 58 ms, IGT 00:03.659, RTA 00:03.630-00:03.688
Tick 130(76), Delay 41 ms, IGT 00:03.759, RTA 00:03.741-00:03.782
Tick 131(77), Delay 64 ms, IGT 00:03.809, RTA 00:03.782-00:03.846
Tick 132(78), Delay 37 ms, IGT 00:03.859, RTA 00:03.846-00:03.883
Tick 136(82), Delay 63 ms, IGT 00:04.059, RTA 00:04.034-00:04.097
Tick 137(83), Delay 117 ms, IGT 00:04.109, RTA 00:04.097-00:04.214
Tick 138(84), Delay 3 ms, IGT 00:04.159, RTA 00:04.214-00:04.217
Tick 139(85), Delay 15 ms, IGT 00:04.209, RTA 00:04.217-00:04.232
Tick 140(86), Delay 44 ms, IGT 00:04.259, RTA 00:04.232-00:04.276
Tick 144(90), Delay 61 ms, IGT 00:04.459, RTA 00:04.427-00:04.488
Tick 145(91), Delay 68 ms, IGT 00:04.509, RTA 00:04.488-00:04.556
Tick 146(92), Delay 40 ms, IGT 00:04.559, RTA 00:04.556-00:04.596
Tick 147(93), Delay 41 ms, IGT 00:04.609, RTA 00:04.596-00:04.637
Tick 148(94), Delay 59 ms, IGT 00:04.659, RTA 00:04.637-00:04.696
Tick 149(95), Delay 39 ms, IGT 00:04.709, RTA 00:04.696-00:04.735
Tick 153(99), Delay 55 ms, IGT 00:04.909, RTA 00:04.879-00:04.934
Tick 157(103), Delay 59 ms, IGT 00:05.109, RTA 00:05.081-00:05.140
Tick 159(105), Delay 98 ms, IGT 00:05.209, RTA 00:05.192-00:05.290
Tick 160(106), Delay 4 ms, IGT 00:05.259, RTA 00:05.290-00:05.294
Tick 161(107), Delay 37 ms, IGT 00:05.309, RTA 00:05.294-00:05.331
Tick 163(109), Delay 45 ms, IGT 00:05.409, RTA 00:05.384-00:05.429
Tick 164(110), Delay 55 ms, IGT 00:05.459, RTA 00:05.429-00:05.484
Tick 165(111), Delay 44 ms, IGT 00:05.509, RTA 00:05.484-00:05.528
Tick 166(112), Delay 67 ms, IGT 00:05.559, RTA 00:05.528-00:05.595
Tick 167(113), Delay 33 ms, IGT 00:05.609, RTA 00:05.595-00:05.628
Tick 168(114), Delay 62 ms, IGT 00:05.659, RTA 00:05.628-00:05.690
Tick 170(116), Delay 40 ms, IGT 00:05.759, RTA 00:05.738-00:05.778
Tick 171(117), Delay 57 ms, IGT 00:05.809, RTA 00:05.778-00:05.835
Tick 172(118), Delay 43 ms, IGT 00:05.859, RTA 00:05.835-00:05.878
Tick 173(119), Delay 69 ms, IGT 00:05.909, RTA 00:05.878-00:05.947
Tick 174(120), Delay 35 ms, IGT 00:05.959, RTA 00:05.947-00:05.982
Tick 176(122), Delay 55 ms, IGT 00:06.059, RTA 00:06.036-00:06.091
Tick 178(124), Delay 40 ms, IGT 00:06.159, RTA 00:06.137-00:06.177
Tick 182(128), Delay 59 ms, IGT 00:06.359, RTA 00:06.333-00:06.392
Tick 183(129), Delay 43 ms, IGT 00:06.409, RTA 00:06.392-00:06.435
Tick 187(133), Delay 55 ms, IGT 00:06.609, RTA 00:06.579-00:06.634
Tick 194(140), Delay 57 ms, IGT 00:06.959, RTA 00:06.930-00:06.987
Tick 196(142), Delay 39 ms, IGT 00:07.059, RTA 00:07.037-00:07.076
Tick 204(150), Delay 55 ms, IGT 00:07.459, RTA 00:07.424-00:07.479
Tick 209(155), Delay 65 ms, IGT 00:07.709, RTA 00:07.675-00:07.740
Tick 210(156), Delay 40 ms, IGT 00:07.759, RTA 00:07.740-00:07.780
